scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S2-B,unique,test,27,6678179,dominant_minus_15pp
S2-B,unique,test,28,6678180,dominant_minus_15pp
S2-B,unique,test,29,6678181,dominant_minus_15pp
S2-B,non_unique,train,,3630000,fixed
S2-B,non_unique,validation,,3632000,fixed
S2-B,non_unique,test,0,4678152,nominal
S2-B,non_unique,test,1,4678153,nominal
S2-B,non_unique,test,2,4678154,nominal
S2-B,non_unique,test,3,4678155,nominal
S2-B,non_unique,test,4,4678156,nominal
S2-B,non_unique,test,5,4678157,nominal
S2-B,non_unique,test,6,4678158,nominal
S2-B,non_unique,test,7,4678159,nominal
S2-B,non_unique,test,8,4678160,nominal
S2-B,non_unique,test,9,4678161,nominal
S2-B,non_unique,test,10,4678162,dominant_plus_15pp
S2-B,non_unique,test,11,4678163,dominant_plus_15pp
S2-B,non_unique,test,12,4678164,dominant_plus_15pp
S2-B,non_unique,test,13,4678165,dominant_plus_15pp
S2-B,non_unique,test,14,4678166,dominant_plus_15pp
S2-B,non_unique,test,15,4678167,dominant_plus_15pp
S2-B,non_unique,test,16,4678168,dominant_plus_15pp
S2-B,non_unique,test,17,4678169,dominant_plus_15pp
S2-B,non_unique,test,18,4678170,dominant_plus_15pp
S2-B,non_unique,test,19,4678171,dominant_plus_15pp
S2-B,non_unique,test,20,4678172,dominant_minus_15pp
S2-B,non_unique,test,21,4678173,dominant_minus_15pp
S2-B,non_unique,test,22,4678174,dominant_minus_15pp
S2-B,non_unique,test,23,4678175,dominant_minus_15pp
S2-B,non_unique,test,24,4678176,dominant_minus_15pp
S2-B,non_unique,test,25,4678177,dominant_minus_15pp
S2-B,non_unique,test,26,4678178,dominant_minus_15pp
S2-B,non_unique,test,27,4678179,dominant_minus_15pp
S2-B,non_unique,test,28,4678180,dominant_minus_15pp
S2-B,non_unique,test,29,4678181,dominant_minus_15pp
S3-A,unique,train,,5640000,fixed
S3-A,unique,validation,,5642000,fixed
S3-A,unique,test,0,6639045,nominal
S3-A,unique,test,1,6639046,nominal
S3-A,unique,test,2,6639047,nominal
S3-A,unique,test,3,6639048,nominal
S3-A,unique,test,4,6639049,nominal
S3-A,unique,test,5,6639050,nominal
S3-A,unique,test,6,6639051,nominal
S3-A,unique,test,7,6639052,nominal
S3-A,unique,test,8,6639053,nominal
S3-A,unique,test,9,6639054,nominal
S3-A,unique,test,10,6639055,dominant_plus_15pp
S3-A,unique,test,11,6639056,dominant_plus_15pp
S3-A,unique,test,12,6639057,dominant_plus_15pp
S3-A,unique,test,13,6639058,dominant_plus_15pp
S3-A,unique,test,14,6639059,dominant_plus_15pp
S3-A,unique,test,15,6639060,dominant_plus_15pp
S3-A,unique,test,16,6639061,dominant_plus_15pp
S3-A,unique,test,17,6639062,dominant_plus_15pp
S3-A,unique,test,18,6639063,dominant_plus_15pp
S3-A,unique,test,19,6639064,dominant_plus_15pp
S3-A,unique,test,20,6639065,dominant_minus_15pp
S3-A,unique,test,21,6639066,dominant_minus_15pp
S3-A,unique,test,22,6639067,dominant_minus_15pp
S3-A,unique,test,23,6639068,dominant_minus_15pp
S3-A,unique,test,24,6639069,dominant_minus_15pp
S3-A,unique,test,25,6639070,dominant_minus_15pp
S3-A,unique,test,26,6639071,dominant_minus_15pp
S3-A,unique,test,27,6639072,dominant_minus_15pp
S3-A,unique,test,28,6639073,dominant_minus_15pp
S3-A,unique,test,29,6639074,dominant_minus_15pp
S3-A,non_unique,train,,3640000,fixed
S3-A,non_unique,validation,,3642000,fixed
S3-A,non_unique,test,0,4639045,nominal
S3-A,non_unique,test,1,4639046,nominal
S3-A,non_unique,test,2,4639047,nominal
S3-A,non_unique,test,3,4639048,nominal
S3-A,non_unique,test,4,4639049,nominal
S3-A,non_unique,test,5,4639050,nominal
S3-A,non_unique,test,6,4639051,nominal
S3-A,non_unique,test,7,4639052,nominal
S3-A,non_unique,test,8,4639053,nominal
S3-A,non_unique,test,9,4639054,nominal
S3-A,non_unique,test,10,4639055,dominant_plus_15pp
S3-A,non_unique,test,11,4639056,dominant_plus_15pp
S3-A,non_unique,test,12,4639057,dominant_plus_15pp
S3-A,non_unique,test,13,4639058,dominant_plus_15pp
S3-A,non_unique,test,14,4639059,dominant_plus_15pp
S3-A,non_unique,test,15,4639060,dominant_plus_15pp
S3-A,non_unique,test,16,4639061,dominant_plus_15pp
S3-A,non_unique,test,17,4639062,dominant_plus_15pp
S3-A,non_unique,test,18,4639063,dominant_plus_15pp
S3-A,non_unique,test,19,4639064,dominant_plus_15pp
S3-A,non_unique,test,20,4639065,dominant_minus_15pp
S3-A,non_unique,test,21,4639066,dominant_minus_15pp
S3-A,non_unique,test,22,4639067,dominant_minus_15pp
S3-A,non_unique,test,23,4639068,dominant_minus_15pp
S3-A,non_unique,test,24,4639069,dominant_minus_15pp
S3-A,non_unique,test,25,4639070,dominant_minus_15pp
S3-A,non_unique,test,26,4639071,dominant_minus_15pp
S3-A,non_unique,test,27,4639072,dominant_minus_15pp
S3-A,non_unique,test,28,4639073,dominant_minus_15pp
S3-A,non_unique,test,29,4639074,dominant_minus_15pp
S3-B,unique,train,,5650000,fixed
S3-B,unique,validation,,5652000,fixed
S3-B,unique,test,0,6692942,nominal
S3-B,unique,test,1,6692943,nominal
